"12f6 -- 8. Asukkaiden pääasiallinen toiminta, 2010-2022"

"Postinumeroalue";"Tiedot";"2022"
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1540
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Opiskelijat (PT)";573
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Eläkeläiset (PT)";1305
"00430  Maununneva - Kuninkaantammi (Helsinki)";"Muut (PT)";214
"00440  Lassila (Helsinki)";"Asukkaat yhteensä (PT)";4728
"00440  Lassila (Helsinki)";"Työlliset (PT)";2041
"00440  Lassila (Helsinki)";"Työttömät (PT)";250
"00440  Lassila (Helsinki)";"Lapset 0-14-vuotiaat (PT)";608
"00440  Lassila (Helsinki)";"Opiskelijat (PT)";355
"00440  Lassila (Helsinki)";"Eläkeläiset (PT)";1266
"00440  Lassila (Helsinki)";"Muut (PT)";208
"00500  Sörnäinen - Harju (Helsinki)";"Asukkaat yhteensä (PT)";11486
"00500  Sörnäinen - Harju (Helsinki)";"Työlliset (PT)";7320
"00500  Sörnäinen - Harju (Helsinki)";"Työttömät (PT)";880
"00500  Sörnäinen - Harju (Helsinki)";"Lapset 0-14-vuotiaat (PT)";382
"00500  Sörnäinen - Harju (Helsinki)";"Opiskelijat (PT)";1041
"00500  Sörnäinen - Harju (Helsinki)";"Eläkeläiset (PT)";1347
"00500  Sörnäinen - Harju (Helsinki)";"Muut (PT)";516
"00510  Alppila - Vallila (Helsinki)";"Asukkaat yhteensä (PT)";9461
"00510  Alppila - Vallila (Helsinki)";"Työlliset (PT)";5853
"00510  Alppila - Vallila (Helsinki)";"Työttömät (PT)";668
"00510  Alppila - Vallila (Helsinki)";"Lapset 0-14-vuotiaat (PT)";657
"00510  Alppila - Vallila (Helsinki)";"Opiskelijat (PT)";629
"00510  Alppila - Vallila (Helsinki)";"Eläkeläiset (PT)";1334
"00510  Alppila - Vallila (Helsinki)";"Muut (PT)";320
"00520  Itä- ja Keski-Pasila (Helsinki)";"Asukkaat yhteensä (PT)";8394
"00520  Itä- ja Keski-Pasila (Helsinki)";"Työlliset (PT)";4784
"00520  Itä- ja Keski-Pasila (Helsinki)";"Työttömät (PT)";423
"00520  Itä- ja Keski-Pasila (Helsinki)";"Lapset 0-14-vuotiaat (PT)";917
"00520  Itä- ja Keski-Pasila (Helsinki)";"Opiskelijat (PT)";600
"00520  Itä- ja Keski-Pasila (Helsinki)";"Eläkeläiset (PT)";1239
"00520  Itä- ja Keski-Pasila (Helsinki)";"Muut (PT)";431
"00530  Kallio (Helsinki)";"Asukkaat yhteensä (PT)";17777
"00530  Kallio (Helsinki)";"Työlliset (PT)";10257
"00530  Kallio (Helsinki)";"Työttömät (PT)";1102
"00530  Kallio (Helsinki)";"Lapset 0-14-vuotiaat (PT)";969
"00530  Kallio (Helsinki)";"Opiskelijat (PT)";1464
"00530  Kallio (Helsinki)";"Eläkeläiset (PT)";3265
"00530  Kallio (Helsinki)";"Muut (PT)";720
"00540  Kalasatama - Sompasaari (Helsinki)";"Asukkaat yhteensä (PT)";5464
"00540  Kalasatama - Sompasaari (Helsinki)";"Työlliset (PT)";3134
"00540  Kalasatama - Sompasaari (Helsinki)";"Työttömät (PT)";194
"00540  Kalasatama - Sompasaari (Helsinki)";"Lapset 0-14-vuotiaat (PT)";884
"00540  Kalasatama - Sompasaari (Helsinki)";"Opiskelijat (PT)";413
"00540  Kalasatama - Sompasaari (Helsinki)";"Eläkeläiset (PT)";662
"00540  Kalasatama - Sompasaari (Helsinki)";"Muut (PT)";177
"00550  Vallila - Hermanni (Helsinki)";"Asukkaat yhteensä (PT)";9131
"00550  Vallila - Hermanni (Helsinki)";"Työlliset (PT)";5106
"00550  Vallila - Hermanni (Helsinki)";"Työttömät (PT)";607
"00550  Vallila - Hermanni (Helsinki)";"Lapset 0-14-vuotiaat (PT)";819
"00550  Vallila - Hermanni (Helsinki)";"Opiskelijat (PT)";1030
"00550  Vallila - Hermanni (Helsinki)";"Eläkeläiset (PT)";1271
"00550  Vallila - Hermanni (Helsinki)";"Muut (PT)";298
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)";"Asukkaat yhteensä (PT)";13790
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)";"Työlliset (PT)";7064
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)";"Työttömät (PT)";537
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)";"Lapset 0-14-vuotiaat (PT)";2068
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)";"Opiskelijat (PT)";1638
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)";"Eläkeläiset (PT)";2055
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)";"Muut (PT)";428
"00570  Kulosaari (Helsinki)";"Asukkaat yhteensä (PT)";4073
"00570  Kulosaari (Helsinki)";"Työlliset (PT)";1967
"00570  Kulosaari (Helsinki)";"Työttömät (PT)";117
"00570  Kulosaari (Helsinki)";"Lapset 0-14-vuotiaat (PT)";748
"00570  Kulosaari (Helsinki)";"Opiskelijat (PT)";305
"00570  Kulosaari (Helsinki)";"Eläkeläiset (PT)";768
"00570  Kulosaari (Helsinki)";"Muut (PT)";168
"00580  Kalasatama - Kyläsaari (Helsinki)";"Asukkaat yhteensä (PT)";7020
"00580  Kalasatama - Kyläsaari (Helsinki)";"Työlliset (PT)";4318
"00580  Kalasatama - Kyläsaari (Helsinki)";"Työttömät (PT)";255
"00580  Kalasatama - Kyläsaari (Helsinki)";"Lapset 0-14-vuotiaat (PT)";823
"00580  Kalasatama - Kyläsaari (Helsinki)";"Opiskelijat (PT)";688
"00580  Kalasatama - Kyläsaari (Helsinki)";"Eläkeläiset (PT)";729
"00580  Kalasatama - Kyläsaari (Helsinki)";"Muut (PT)";207
"00590  Kruunuvuorenranta (Helsinki)";"Asukkaat yhteensä (PT)";4266
"00590  Kruunuvuorenranta (Helsinki)";"Työlliset (PT)";2294
"00590  Kruunuvuorenranta (Helsinki)";"Työttömät (PT)";224
"00590  Kruunuvuorenranta (Helsinki)";"Lapset 0-14-vuotiaat (PT)";765
"00590  Kruunuvuorenranta (Helsinki)";"Opiskelijat (PT)";290
"00590  Kruunuvuorenranta (Helsinki)";"Eläkeläiset (PT)";552
"00590  Kruunuvuorenranta (Helsinki)";"Muut (PT)";141
"00600  Koskela (Helsinki)";"Asukkaat yhteensä (PT)";4660
"00600  Koskela (Helsinki)";"Työlliset (PT)";1929
"00600  Koskela (Helsinki)";"Työttömät (PT)";230
"00600  Koskela (Helsinki)";"Lapset 0-14-vuotiaat (PT)";666
"00600  Koskela (Helsinki)";"Opiskelijat (PT)";432
"00600  Koskela (Helsinki)";"Eläkeläiset (PT)";1139
"00600  Koskela (Helsinki)";"Muut (PT)";264
"00610  Käpylä (Helsinki)";"Asukkaat yhteensä (PT)";7887
"00610  Käpylä (Helsinki)";"Työlliset (PT)";3999
"00610  Käpylä (Helsinki)";"Työttömät (PT)";381
"00610  Käpylä (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1201
