# Age demographics of Finnish population per area code. Data for 2022.
# Data taken from https://www.stat.fi/tup/paavo/index.html
# 
# yht: "Asukkaat yhteensä (HE)"
# male: "Miehet (HE)"
# female: "Naiset (HE)"
# avg: "Asukkaiden keski-ikä (HE)"
# 18_19: "18-19-vuotiaat (HE)"
# 20_24: "20-24-vuotiaat (HE)"
# 25_29: "25-29-vuotiaat (HE)"
# 30_34: "30-34-vuotiaat (HE)"
# 35_39: "35-39-vuotiaat (HE)"
# 40_44: "40-44-vuotiaat (HE)"
# 45_49: "45-49-vuotiaat (HE)"
# 50_54: "50-54-vuotiaat (HE)"
# 55_59: "55-59-vuotiaat (HE)"
# 60_64: "60-64-vuotiaat (HE)"
# 65_69: "65-69-vuotiaat (HE)"
# 70_74: "70-74-vuotiaat (HE)"
# 75_79: "75-79-vuotiaat (HE)"
# 80_84: "80-84-vuotiaat (HE)"
# 85: "85 vuotta täyttäneet (HE)"
#
# CSV-Schema:
# area_code, area_name, yht, male, female, avg, 18_19, 20_24, 25_29, 30_34, 35_39, 40_44, 45_49, 50_54, 55_59, 60_64, 65_69, 70_74, 75_79, 80_84, 85

00980; Etelä-Vuosaari (Helsinki); 22890; 10795; 12095; 42; 505; 1128; 1432; 1732; 1508; 1443; 1448; 1422; 1773; 1463; 1187; 1046; 961; 613; 546
00990; Aurinkolahti (Helsinki); 8701; 3991; 4710; 44; 154; 394; 557; 678; 629; 580; 562; 588; 614; 530; 471; 527; 457; 277; 198
01120; Västerskog (Sipoo); 1455; 760; 695; 44; 44; 37; 45; 79; 80; 121; 111; 118; 119; 113; 85; 82; 74; 32; 26
01150; Söderkulla (Sipoo); 6750; 3360; 3390; 40; 166; 315; 406; 446; 444; 549; 506; 497; 469; 335; 281; 298; 226; 132; 106
01180; Kalkkiranta (Sipoo); 493; 252; 241; 46; 20; 13; 19; 13; 24; 28; 37; 43; 57; 40; 27; 29; 22; 15; 16
01190; Box (Sipoo); 1011; 509; 502; 45; 23; 22; 21; 47; 59; 82; 75; 92; 103; 69; 61; 63; 46; 32; 14
01200; Hakunila (Vantaa); 12659; 6418; 6241; 39; 313; 728; 881; 1029; 1031; 867; 805; 753; 788; 690; 590; 572; 501; 214; 162
01230; Vaarala (Vantaa); 3087; 1587; 1500; 40; 62; 158; 231; 305; 212; 225; 209; 220; 231; 192; 127; 118; 115; 52; 34
01260; Itä-Hakkila (Vantaa); 4749; 2402; 2347; 42; 112; 134; 167; 224; 357; 343; 388; 351; 408; 304; 248; 254; 201; 69; 71
01280; Länsimäki (Vantaa); 9987; 5159; 4828; 41; 162; 447; 632; 853; 893; 752; 625; 669; 686; 570; 527; 536; 366; 195; 92
01300; Tikkurila (Vantaa); 23436; 11435; 12001; 42; 470; 1918; 2357; 2214; 1731; 1530; 1396; 1196; 1410; 1296; 1162; 1117; 943; 615; 589
01340; Leinelä (Vantaa); 2529; 1161; 1368; 36; 56; 247; 381; 341; 213; 164; 116; 106; 122; 116; 87; 96; 54; 22; 15
01350; Hiekkaharju (Vantaa); 10411; 5184; 5227; 40; 232; 561; 762; 929; 880; 806; 667; 609; 656; 611; 472; 375; 303; 229; 181
01360; Koivukylä-Havukoski (Vantaa); 12553; 6404; 6149; 41; 248; 680; 1015; 1181; 1034; 979; 742; 698; 765; 653; 638; 601; 490; 262; 210
01370; Jokiniemi (Vantaa); 7101; 3476; 3625; 35; 191; 686; 809; 814; 631; 525; 381; 346; 429; 324; 223; 165; 107; 53; 37
01380; Kuusikko-Hakkila (Vantaa); 2053; 1011; 1042; 38; 49; 57; 92; 156; 161; 197; 135; 130; 158; 104; 82; 81; 50; 34; 16
01390; Ruskeasanta-Ilola (Vantaa); 9265; 4700; 4565; 39; 206; 320; 500; 667; 786; 768; 697; 628; 663; 583; 468; 317; 248; 108; 71
01400; Rekola (Vantaa); 9746; 4838; 4908; 41; 260; 577; 599; 679; 685; 689; 680; 638; 689; 532; 450; 441; 411; 239; 203
01420; Päiväkumpu (Vantaa); 3068; 1574; 1494; 42; 85; 100; 79; 161; 185; 238; 210; 250; 278; 233; 152; 146; 104; 66; 42
01450; Korso (Vantaa); 18166; 9234; 8932; 41; 419; 789; 1018; 1357; 1446; 1359; 1303; 1290; 1347; 1113; 903; 813; 661; 356; 274
01480; Mikkola (Vantaa); 6387; 3284; 3103; 41; 119; 271; 378; 501; 503; 510; 430; 484; 495; 383; 336; 256; 225; 117; 78
01490; Nikinmäki (Vantaa); 4661; 2371; 2290; 36; 133; 127; 169; 323; 375; 393; 413; 391; 306; 219; 164; 138; 83; 54; 26
01510; Kirkonkylä-Veromäki (Vantaa); 7680; 3907; 3773; 35; 188; 534; 748; 825; 772; 712; 524; 422; 381; 279; 188; 179; 120; 66; 50
01520; Tammisto (Vantaa); 7616; 3680; 3936; 35; 175; 352; 495; 658; 662; 770; 698; 532; 401; 250; 189; 173; 136; 57; 21
01530; Veromiehenkylä (Vantaa); 744; 413; 331; 33; 19; 90; 119; 100; 66; 53; 54; 46; 27; 28; 18; 6; 2; 1; 2
01600; Myyrmäki (Vantaa); 17706; 8601; 9105; 43; 358; 1179; 1527; 1548; 1378; 1143; 918; 872; 920; 791; 869; 1005; 1021; 683; 571
01610; Kaivoksela (Vantaa); 5709; 2979; 2730; 41; 102; 395; 611; 627; 495; 396; 348; 334; 360; 303; 265; 266; 222; 113; 90
01620; Martinlaakso (Vantaa); 13467; 6782; 6685; 41; 279; 923; 1171; 1254; 1092; 972; 782; 723; 664; 626; 562; 627; 642; 434; 312
01630; Hämeenkylä (Vantaa); 2097; 1014; 1083; 41; 44; 58; 101; 150; 150; 149; 146; 139; 133; 137; 137; 135; 93; 33; 17
01640; Hämevaara (Vantaa); 3627; 1804; 1823; 41; 68; 144; 214; 272; 290; 283; 249; 244; 245; 225; 203; 146; 128; 73; 69
01650; Vapaala (Vantaa); 3995; 2046; 1949; 43; 85; 161; 185; 278; 257; 320; 306; 271; 269; 250; 216; 203; 215; 128; 65
01660; Varisto (Vantaa); 2264; 1119; 1145; 43; 35; 74; 119; 169; 158; 188; 170; 152; 131; 114; 100; 128; 127; 64; 51
01670; Vantaanlaakso (Vantaa); 2868; 1419; 1449; 41; 54; 68; 116; 259; 260; 248; 195; 181; 188; 159; 125; 155; 144; 62; 27
01680; Askisto (Vantaa); 2106; 1061; 1045; 39; 57; 65; 74; 135; 165; 175; 164; 156; 165; 106; 101; 104; 63; 30; 10
01690; Ylästö (Vantaa); 5173; 2564; 2609; 37; 145; 136; 116; 243; 374; 528; 515; 384; 384; 213; 188; 156; 109; 59; 31
